"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","J7","10118193-0001LF","arduinouno:10118193-0001LF","arduinouno:10118193","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10118193.pdf","609-4616-1-ND"
"","","J8","PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","",""
"","","J9","PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","",""
"","","JP1","68000-103HLF","arduinouno:68000-103HLF","arduinouno:3P_Header_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf","609-3461-ND"
"","","JP2","68602-104HLF","arduinouno:68602-104HLF","arduinouno:HDR_2x2_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3361-ND"
"","","JP3","68001-204HLF","arduinouno:68001-204HLF","arduinouno:4P_Header_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf","609-3402-ND"
"","","JP4","68000-103HLF","arduinouno:68000-103HLF","arduinouno:3P_Header_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf","609-3461-ND"
"","","L1","2u2|2A","arduinouno:L1210R2R2MDWIT","arduinouno:C1210_INDUCTOR","https://api.kemet.com/component-edge/download/datasheet/L1210R2R2MDWIT.pdf","399-9598-1-ND"
"","","LINK1","QPC02SXGN-RC","arduinouno:QPC02SXGN-RC","","https://drawings-pdf.s3.amazonaws.com/11510.pdf","S9337-ND"
"","","LINK2","QPC02SXGN-RC","arduinouno:QPC02SXGN-RC","","https://drawings-pdf.s3.amazonaws.com/11510.pdf","S9337-ND"
"","","LINK3","QPC02SXGN-RC","arduinouno:QPC02SXGN-RC","","https://drawings-pdf.s3.amazonaws.com/11510.pdf","S9337-ND"
"","","MH1","MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","",""
"","","MH2","MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","",""
"","","MH3","MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD","",""
"","","MH4","MH_7.4MMNCx3.2MMD","arduinouno:MH_7.4MMNCx3.2MMD","arduinouno:MH_7.4MMCx3.2MMD_NON_COPPER_NPTH","",""
"","","R1","100K","arduinouno:RC0805FR-07100KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","  311-100KCRCT-ND"
"","","R2","560R","arduinouno:RC0805FR-07560RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-560CRCT-ND"
"","","R3","560R","arduinouno:RC0805FR-07560RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-560CRCT-ND"
"","","R4","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
"","","R5","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R6","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R7","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R8","0R","arduinouno:RC0805JR-070RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-0.0ARCT-ND"
"","","R9","1M","arduinouno:RC0805FR-071ML","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-1.00MCRCT-ND"
"","","R10","1k","arduinouno:RC0805FR-071KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-1.00KCRCT-ND"
"","","R11","1k","arduinouno:RC0805FR-071KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-1.00KCRCT-ND"
"","","R12","1k","arduinouno:RC0805FR-071KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-1.00KCRCT-ND"
"","","R13","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R14","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
"","","R15","560R","arduinouno:RC0805FR-07560RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-560CRCT-ND"
"","","R16","1M","arduinouno:RC0805FR-071ML","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-1.00MCRCT-ND"
"","","R17","560R","arduinouno:RC0805FR-07560RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-560CRCT-ND"
"","","R18","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
